step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0
1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0
1,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0
1,TRANSFER,215310.30,C1670993182,705.0,0.0,C1100439041,22425.0,0.0
1,TRANSFER,311685.89,C1984094095,10835.0,0.0,C932583850,6267.0,2719172.89
2,CASH_OUT,110414.71,C1842450465,0.0,0.0,C1015173916,2433.96,2433.96
3,TRANSFER,12939.55,C1053967012,7817.71,0.0,C1942881857,0.0,0.0
4,CASH_OUT,229133.94,C905080434,15325.0,0.0,C476402209,5083.0,51513.44
